                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9915,                 4.9189,                 3.8197,                0.00502,                0.32201,                0.01246,                0.00415,                 2.6777,                  3.954,                 3.3282,             0.00013887,             0.00013887,             0.00013887
                      2,                 2.3357,                 4.0957,                 2.8908,                0.52519,                0.06723,                 0.0394,                0.01587,                 2.1416,                 3.4495,                 2.7304,             0.00025036,             0.00025036,             0.00025036
                      3,                 2.0318,                 3.5044,                 2.5311,                0.28314,                0.12922,                 0.0843,                0.03837,                 1.9587,                  3.151,                 2.4618,             0.00033433,             0.00033433,             0.00033433
                      4,                 1.8893,                 3.1728,                  2.359,                0.29677,                0.17183,                0.12568,                0.06281,                 1.8412,                 2.9152,                  2.331,             0.00029315,             0.00029315,             0.00029315
                      5,                 1.7903,                 2.9563,                 2.2456,                0.28186,                0.22159,                0.16959,                0.08935,                 1.7611,                 2.6738,                 2.2318,             0.00025187,             0.00025187,             0.00025187
                      6,                 1.7271,                 2.7979,                 2.1709,                0.29695,                0.25281,                0.20248,                0.11079,                 1.7006,                 2.5684,                 2.1594,             0.00021059,             0.00021059,             0.00021059
                      7,                 1.6664,                 2.6725,                 2.1081,                   0.35,                0.29152,                 0.2454,                0.13942,                  1.636,                 2.4127,                 2.0977,              0.0001693,              0.0001693,              0.0001693
                      8,                 1.6252,                 2.5703,                  2.064,                0.34033,                0.29923,                0.25585,                0.14624,                 1.6102,                 2.3744,                 2.0766,             0.00012802,             0.00012802,             0.00012802
                      9,                 1.5941,                 2.4924,                 2.0331,                0.38698,                0.31446,                0.28827,                0.16812,                 1.5856,                 2.2739,                 2.0292,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     10,                 1.5622,                 2.4248,                 1.9989,                0.38347,                0.33155,                0.30548,                 0.1795,                 1.5636,                 2.2244,                 2.0119,             4.5453e-05,             4.5453e-05,             4.5453e-05
